URL,Version,Status,OIDs,Name,Title,Description,Used
http://mohcc.gov.zw/fhir/core/CodeSystem/ZimCountryCS,0.1.0,draft,,ZimCountryCS,Zimbabwe Country (Nationality) Code System,"Countries used for citizenship/nationality in Zimbabwe. Codes are aligned with ISO 3166-1 alpha-2. Defined locally so terminology validation does not depend on ISO 3166 server support; extend as needed.",
http://mohcc.gov.zw/fhir/core/CodeSystem/ZimDistrictCS,0.1.0,draft,,ZimDistrictCS,Zimbabwe District Code System,"Districts (and metropolitan sub-units) of Zimbabwe, from the MOHCC district table. The concept code is the 4-character district code = 2-digit province code (01-10, per ZimProvinceCS) + 2-character zero-padded district code. The 'provinceCode' property gives the parent province's 2-digit code. NOTE: Harare city units were re-parented from the source ProvinceID=1 (Manicaland) to Harare (01); a junk 'Harare' row (ProvinceID 7) and other non-standard rows were excluded.",
http://mohcc.gov.zw/fhir/core/CodeSystem/ZimFacilityTypeCS,0.1.0,draft,,ZimFacilityTypeCS,Zimbabwe Health Facility Type Code System,"Tiers of health facility in the Zimbabwe public health system.",
http://mohcc.gov.zw/fhir/core/CodeSystem/ZimProvinceCS,0.1.0,draft,,ZimProvinceCS,Zimbabwe Province Code System,"The ten provinces of Zimbabwe. The 'provinceCode' property gives the province's two-digit code (01-10), which forms the leading segment of district codes (province+district, e.g. 0132) and facility codes (province+district+facility, e.g. 013224). Concept codes are also aligned with ISO 3166-2:ZW subdivisions (e.g. HA = ZW-HA).",
