URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/ZimGender"
http://mohcc.gov.zw/fhir/core/CodeSystem/ZimCountryCS,0.1.0,draft,,ZimCountryCS,Zimbabwe Country (Nationality) Code System,"Countries used for citizenship/nationality in Zimbabwe. Codes are aligned with ISO 3166-1 alpha-2. Defined locally so terminology validation does not depend on ISO 3166 server support; extend as needed.","ValueSet/ZimCountry"
http://mohcc.gov.zw/fhir/core/CodeSystem/ZimFacilityTypeCS,0.1.0,draft,,ZimFacilityTypeCS,Zimbabwe Health Facility Type Code System,"Tiers of health facility in the Zimbabwe public health system.","ValueSet/ZimFacilityType"
http://mohcc.gov.zw/fhir/core/CodeSystem/ZimProvinceCS,0.1.0,draft,,ZimProvinceCS,Zimbabwe Province Code System,"The ten provinces of Zimbabwe. The 'facilityCode' property gives the two-digit province number (01-10) used as the province segment of a national facility code. Concept codes are also aligned with ISO 3166-2:ZW subdivisions (e.g. HA = ZW-HA).","ValueSet/ZimProvince"
http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,2018-08-12,active,"2.16.840.1.113883.5.2",v3.MaritalStatus,v3 Code System MaritalStatus," * * * No description supplied * * *  Open Issue:  The specific meanings of these codes can vary somewhat by jurisdiction and implementation so caution should be used when determining equivalency.","ValueSet/ZimMaritalStatus"
