URL,Version,Status,OIDs,Name,Title,Description,Used
http://mohcc.gov.zw/fhir/core/CodeSystem/ZimCountryCS,0.1.0,draft,,ZimCountryCS,Zimbabwe Country (Nationality) Code System,"Countries used for citizenship/nationality in Zimbabwe. Codes are aligned with ISO 3166-1 alpha-2. Defined locally so terminology validation does not depend on ISO 3166 server support; extend as needed.",
http://mohcc.gov.zw/fhir/core/CodeSystem/ZimFacilityTypeCS,0.1.0,draft,,ZimFacilityTypeCS,Zimbabwe Health Facility Type Code System,"Tiers of health facility in the Zimbabwe public health system.",
http://mohcc.gov.zw/fhir/core/CodeSystem/ZimProvinceCS,0.1.0,draft,,ZimProvinceCS,Zimbabwe Province Code System,"The ten provinces of Zimbabwe. The 'facilityCode' property gives the two-digit province number (01-10) used as the province segment of a national facility code. Concept codes are also aligned with ISO 3166-2:ZW subdivisions (e.g. HA = ZW-HA).",
